version,instance,result,time
v_01,../instances/set_1_3/p1.3.q.txt,215.000000,9694
v_01,../instances/set_1_3/p1.3.q.txt,220.000000,9657
v_01,../instances/set_1_3/p1.3.r.txt,225.000000,10594
v_01,../instances/set_1_3/p1.3.r.txt,235.000000,10623
v_01,../instances/set_1_3/p1.3.r.txt,230.000000,10596
v_01,../instances/set_1_3/p1.3.r.txt,230.000000,10416
v_01,../instances/set_1_4/p1.4.a.txt,0.000000,262
v_01,../instances/set_1_4/p1.4.a.txt,0.000000,269
v_01,../instances/set_1_4/p1.4.a.txt,0.000000,266
v_01,../instances/set_1_4/p1.4.a.txt,0.000000,266
v_01,../instances/set_1_4/p1.4.b.txt,0.000000,267
v_01,../instances/set_1_4/p1.4.b.txt,0.000000,264
v_01,../instances/set_1_4/p1.4.b.txt,0.000000,269
v_01,../instances/set_1_4/p1.4.b.txt,0.000000,302
v_01,../instances/set_1_4/p1.4.c.txt,0.000000,325
v_01,../instances/set_1_4/p1.4.c.txt,0.000000,257
v_01,../instances/set_1_4/p1.4.c.txt,0.000000,255
v_01,../instances/set_1_4/p1.4.c.txt,0.000000,259
v_01,../instances/set_1_4/p1.4.d.txt,15.000000,293
v_01,../instances/set_1_4/p1.4.d.txt,15.000000,296
v_01,../instances/set_1_4/p1.4.d.txt,15.000000,294
v_01,../instances/set_1_4/p1.4.d.txt,15.000000,295
v_01,../instances/set_1_4/p1.4.e.txt,15.000000,297
v_01,../instances/set_1_4/p1.4.e.txt,15.000000,298
v_01,../instances/set_1_4/p1.4.e.txt,15.000000,297
v_01,../instances/set_1_4/p1.4.e.txt,15.000000,302
v_01,../instances/set_1_4/p1.4.f.txt,25.000000,351
v_01,../instances/set_1_4/p1.4.f.txt,25.000000,352
v_01,../instances/set_1_4/p1.4.f.txt,25.000000,350
v_01,../instances/set_1_4/p1.4.f.txt,25.000000,357
v_01,../instances/set_1_4/p1.4.g.txt,35.000000,546
v_01,../instances/set_1_4/p1.4.g.txt,35.000000,529
v_01,../instances/set_1_4/p1.4.g.txt,35.000000,549
v_01,../instances/set_1_4/p1.4.g.txt,35.000000,531
v_01,../instances/set_1_4/p1.4.h.txt,45.000000,685
v_01,../instances/set_1_4/p1.4.h.txt,45.000000,678
v_01,../instances/set_1_4/p1.4.h.txt,45.000000,673
v_01,../instances/set_1_4/p1.4.h.txt,45.000000,682
v_01,../instances/set_1_4/p1.4.i.txt,60.000000,1463
v_01,../instances/set_1_4/p1.4.i.txt,60.000000,1462
v_01,../instances/set_1_4/p1.4.i.txt,60.000000,1435
v_01,../instances/set_1_4/p1.4.i.txt,60.000000,1447
v_01,../instances/set_1_4/p1.4.j.txt,75.000000,2621
v_01,../instances/set_1_4/p1.4.j.txt,75.000000,2639
v_01,../instances/set_1_4/p1.4.j.txt,75.000000,2610
v_01,../instances/set_1_4/p1.4.j.txt,75.000000,2646
v_01,../instances/set_1_4/p1.4.k.txt,100.000000,4176
v_01,../instances/set_1_4/p1.4.k.txt,100.000000,4417
v_01,../instances/set_1_4/p1.4.k.txt,100.000000,4048
v_01,../instances/set_1_4/p1.4.k.txt,100.000000,4171
v_01,../instances/set_1_4/p1.4.l.txt,120.000000,5272
v_01,../instances/set_1_4/p1.4.l.txt,120.000000,5282
v_01,../instances/set_1_4/p1.4.l.txt,120.000000,5274
v_01,../instances/set_1_4/p1.4.l.txt,120.000000,5260
v_01,../instances/set_1_4/p1.4.m.txt,130.000000,6630
v_01,../instances/set_1_4/p1.4.m.txt,125.000000,6556
v_01,../instances/set_1_4/p1.4.m.txt,130.000000,6439
v_01,../instances/set_1_4/p1.4.m.txt,130.000000,6508
v_01,../instances/set_1_4/p1.4.n.txt,150.000000,7000
v_01,../instances/set_1_4/p1.4.n.txt,155.000000,6949
